EFTA,Snow_depth,Snow_temp,label
0.318777983,-7.35E-22,0.011102295,0
0.576236352,0.2929688,0.010614014,0
0.307320044,-7.35E-22,0.010797119,0
0.371022474,-7.35E-22,0.009545898,0
0.221972882,-7.35E-22,0.010507202,0
-0.000242586,-7.35E-22,0.009896851,0
0.398996786,-7.35E-22,0.010018921,0
0.527583263,-7.35E-22,0.009439087,0
1.094589708,0.1953125,-5.65,0
0.739201762,0.390625,0.010003662,0
0.169896577,14.9414063,-2.0119385,0
0.439344917,25.78125,-9.280096436,0
1.486575096,31.0546875,-20.16449585,1
6.915811526,30.9570313,-34.71027222,1
8.446097467,36.328125,-13.54646912,1
5.426641046,56.4453125,-8.944662476,1
5.977580788,58.1054688,-28.61759033,1
5.128399386,62.4023438,-26.7026123,1
6.342701618,57.2265625,-4.816854858,1
6.936761876,50.6835938,-3.692404175,1
5.832459958,46.7773438,-1.65,1
6.892882706,45.8007813,-13.62059631,1
5.621976637,58.1054688,-8.323599243,1
5.886245196,52.8320313,-1.294256592,1
2.922218297,34.8632813,-3.618978882,1
4.749641046,34.375,-12.2711853,1
2.219339127,34.765625,-9.064703369,1
4.149882706,38.4765625,-13.92342224,1
2.932569866,24.0234375,0.010629272,1
2.112607686,-7.35E-22,0.01003418,0
3.386294846,0.09765625,0.009591675,0
1.814124366,0.09765625,0.009164429,0
1.642064108,-7.35E-22,0.009042358,0
2.664882706,-7.35E-22,0.009347534,0
-0.318694232,-7.35E-22,0.009988403,0
1.740641046,-7.35E-22,0.008782959,0
0.373990559,-7.35E-22,0.010598755,0
0.49361107,-7.35E-22,0.00965271,0
0.269535905,-7.35E-22,0.010995483,0
0.043994651,-7.35E-22,0.0112854,0
0.155550982,-7.35E-22,0.009881592,0
0.261168106,-7.35E-22,0.01,0
0.204017745,-7.35E-22,0.009240723,0
0.420166771,-7.35E-22,0.010202026,0
0.537211573,-7.35E-22,0.010003662,0
0.642413026,-7.35E-22,0.010369873,0
0.537367511,0.8789063,-0.474417114,0
0.800370237,3.4179688,-0.1,0
0.718998512,8.6914063,-5.448294067,1
0.017905259,9.9609375,-0.22,0
0.830992299,8.3984375,-0.848501587,1
2.896364173,1.5625,-0.003485107,1
5.001159467,0.8789063,0.010186768,1
5.490024923,1.953125,-0.519857788,1
4.478888605,1.2695313,-0.076040649,1
7.894527455,6.5429688,-21.11846008,1
6.22783751,7.5195313,-18.83070984,1
5.097527455,7.8125,-6.48795166,1
4.815888605,9.4726563,-1.69,1
5.621115211,7.5195313,-1.220144653,1
4.110069179,8.3984375,-2.16210022,1
5.712934636,8.984375,-11.8715271,1
5.40970803,8.3007813,-12.4027771,1
5.554115211,9.375,-11.20207825,1
4.384527455,8.0078125,-5.40177002,1
4.452295785,5.3710938,-3.606924438,1
2.81170803,19.6289063,-7.58,1
0.692888605,18.1640625,-2.442831421,1
4.997978892,9.6679688,-8.181829834,1
0.559423708,7.6171875,-1.29,1
0.384325774,6.5429688,-0.388388062,1
0.108832322,0.1953125,0.009744263,0
0.559619534,-7.35E-22,0.010995483,0
0.547347605,-7.35E-22,0.009820557,0
0.362800813,-7.35E-22,0.009347534,0
0.792564981,-7.35E-22,0.009973145,0
0.579008958,-7.35E-22,0.008920288,0
0.833907822,-7.35E-22,0.009225464,0
1.070944692,-7.35E-22,0.009713745,0
0.140537811,-7.35E-22,0.00953064,0
-0.118316891,-7.35E-22,0.010003662,0
0.357467966,-7.35E-22,0.01,0
0.492512541,-7.35E-22,0.01,0
-0.143520602,3.7109375,0.01065979,0
0.663539921,1.3671875,0.009393311,0
0.953908164,0.5859375,0.009225464,0
1.050866513,-7.35E-22,0.009561157,0
1.530918764,-7.35E-22,0.009927368,0
0.489460611,0.390625,0.010202026,0
1.099278851,5.2734375,-8.693395996,0
4.223764693,6.7382813,0.010690308,1
7.098235035,7.6171875,-8.17923584,1
9.599721499,14.453125,-8.091207886,1
7.673363285,13.0859375,-0.997076416,1
7.319707101,9.4726563,-1.233190918,1
7.960382482,17.96875,-11.54778137,1
7.4827119,19.0429688,-20.20158997,1
8.753876821,20.2148438,-13.3806366,1
8.940745496,19.6289063,-5.949819946,1
8.886731098,21.1914063,-21.08762207,1
9.481344087,30.2734375,-6.598684692,1
9.779358485,42.96875,-17.76268616,1
7.870721499,42.0898438,-21.83034363,1
7.303382482,41.9921875,-27.26849976,1
9.901735897,41.40625,-20.95085754,1
7.251368084,38.671875,-5.447744751,1
6.614755095,31.7382813,-0.419439697,1
2.80878869,1.5625,0.009591675,1
2.111867222,0.1953125,-1.193685913,0
0.690196852,-7.35E-22,0.010446167,0
0.493991619,-7.35E-22,0.011575317,0
0.925321888,-7.35E-22,0.010354614,0
0.905172664,-7.35E-22,0.009606934,0
0.640830217,1.7578125,0.010476685,0
1.060254173,-7.35E-22,0.010476685,0
0.735670205,-7.35E-22,0.010095215,0
0.957472125,-7.35E-22,0.009698486,0
0.00953632,-7.35E-22,0.009988403,0
0.872090293,-7.35E-22,0.010812378,0
0.535827815,-7.35E-22,0.008584595,0
0.554421264,-7.35E-22,0.011697388,0
0.148216234,-7.35E-22,0.01065979,0
0.050530418,0.09765625,0.010293579,0
0.624773802,3.125,-0.701086426,0
0.083876561,7.1289063,0.009454346,0
0.667620141,0.09765625,0.009713745,0
1.042534156,0.9765625,-0.573751831,0
1.457860957,2.4414063,-4.18,0
1.185105685,3.3203125,-1.302252197,1
0.999240624,3.90625,-4.376348877,1
0.995323017,6.3476563,-5.796270752,1
0.312115851,9.0820313,-0.932211304,1
1.148333988,10.9375,-17.46,1
2.898772507,13.0859375,-11.21550598,1
4.66353801,12.3046875,-0.59,1
3.311257985,11.1328125,-5.626364136,1
4.824890706,10.6445313,-4.598348999,1
6.022743463,10.7421875,-12.41506042,1
6.657890706,19.140625,-23.87090149,1
4.883934333,19.0429688,-17.87402954,1
3.225890706,18.8476563,-7.367544556,1
3.175025631,20.1171875,-0.573721313,1
3.529994444,14.3554688,-4.295935059,1
2.83170198,14.9414063,-18.17255249,1
1.237670792,14.2578125,-6.009893799,1
3.129519383,10.3515625,-1.76,1
0.350508966,5.078125,-0.511633301,1
5.000511109,1.2695313,-3.488699341,1
6.896861662,1.953125,-1.404211426,1
5.869187457,3.125,-4.188406372,1
0.78634714,0.1953125,0.009362793,0
3.875540154,5.6640625,-2.394644165,1
-0.139359964,2.34375,0.011331177,0
0.797148857,0.8789063,-4.1084198,1
0.260133166,-7.35E-22,0.010385132,0
0.227938003,-7.35E-22,0.008584595,0
0.320236732,-7.35E-22,0.010812378,0
0.419034823,-7.35E-22,0.011392212,0
0.381296577,0.09765625,0.010140991,0
0.328578484,-7.35E-22,0.010018921,0
0.337404548,-7.35E-22,0.00927124,0
0.290954243,-7.35E-22,0.00953064,0
0.009137052,-7.35E-22,0.011651611,0
-0.05781528,-7.35E-22,0.010919189,0
0.174793579,-7.35E-22,0.010552979,0
0.163531919,-7.35E-22,0.010369873,0
0.144590599,-7.35E-22,0.009042358,0
0.414884909,-7.35E-22,0.010324097,0
0.76593996,-7.35E-22,-2.023397827,0
0.26203265,3.2226563,-1.140371704,0
0.520506298,1.953125,0.009591675,0
0.59392492,-7.35E-22,0.009576416,0
0.787337305,0.4882813,-0.009924316,1
0.69961781,1.8554688,-2.953619385,1
0.640753753,1.953125,-3.791769409,1
0.702454187,1.6601563,0.010247803,1
0.751917012,0.78125,0.009545898,1
0.448521534,0.390625,0.010202026,1
0.7726861,4.1015625,-1.149206543,1
5.93136554,7.8125,-15.71925964,1
3.496981123,9.8632813,-0.831838989,1
3.462104915,6.7382813,-1.87795105,1
4.347283363,7.3242188,-9.412313843,1
5.149187093,8.984375,-15.22867432,1
4.206270193,8.3007813,-0.938665771,1
4.206270193,8.3007813,-0.938665771,1
3.918008516,8.6914063,-19.11,1
3.918008516,8.6914063,-19.11,1
4.90235237,7.9101563,-15.35010376,1
4.90235237,7.9101563,-15.35010376,1
4.267871553,7.2265625,-4.822073364,1
4.267871553,7.2265625,-4.822073364,1
-1.469744029,2.9296875,0.010110474,1
-1.469744029,2.9296875,0.010110474,1
-0.069856601,1.953125,0.010125732,1
0.446437986,1.3671875,0.01,1
0.524612392,0.09765625,0.010415649,1
0.534748301,-7.35E-22,0.010247803,1
0.424186982,0.09765625,0.010430908,0
0.782843969,-7.35E-22,0.010186768,0
0.62873454,-7.35E-22,0.01003418,0
0.010471862,7.7148438,0.010812378,0
0.702781135,1.171875,-0.129858398,0
0.577371086,-7.35E-22,0.011499023,0
0.387608277,-7.35E-22,0.008294678,0
0.395538108,-7.35E-22,0.010324097,0
0.37444444,-7.35E-22,0.009072876,0
-0.038007736,-7.35E-22,0.01,0
0.333470501,-7.35E-22,0.011270142,0
0.375448946,-7.35E-22,0.011315918,0
0.191861994,-7.35E-22,0.010079956,0
0.350077563,-7.35E-22,0.010308838,0
0.028217267,-7.35E-22,0.009332275,0
0.320146696,-7.35E-22,0.011254883,0
0.672116066,-7.35E-22,0.010018921,0
1.107313261,-7.35E-22,0.01003418,0
0.730413864,-7.35E-22,0.010125732,0
1.051459367,-7.35E-22,0.010263062,0
0.837255924,-7.35E-22,0.009973145,0
0.121266703,0.09765625,0.009637451,0
0.940865023,4.6875,-2.62819519,0
6.724319496,3.4179688,-0.003057861,1
4.257234529,2.9296875,0.01,1
7.325387807,2.4414063,-3.376287842,1
8.588995441,7.3242188,-4.455328369,1
7.929421962,7.1289063,-13.98628845,1
6.202514657,47.7539063,-9.279943848,1
5.860917266,48.3398438,-7.898321533,1
6.589446346,46.2890625,-7.132574463,1
3.262156354,32.8125,0.010247803,1
5.733412191,7.421875,-3.108175659,1
2.134738854,6.0546875,0.010491943,1
6.315190509,2.9296875,0.010308838,1
10.61275942,0.1953125,0.010140991,0
4.598704698,-7.35E-22,0.009637451,0
6.732501724,-7.35E-22,-2.443121338,1
9.14334388,28.515625,-3.151968384,1
2.376981758,23.4375,0.009805298,1
5.150378035,0.6835938,0.011361694,0
0.480182984,0.09765625,0.010369873,0
0.588216667,-7.35E-22,0.009118652,0
0.147829902,-7.35E-22,0.009393311,0
0.801793833,-7.35E-22,0.009835815,0
0.183056185,-7.35E-22,0.010964966,0
1.154953558,-7.35E-22,0.010369873,0
0.080357584,-7.35E-22,0.009927368,0
-0.020747076,-7.35E-22,0.01104126,0
0.558065292,-7.35E-22,0.010186768,0
0.001286195,-7.35E-22,0.010797119,0
0.033131809,-7.35E-22,0.009805298,0
0.019730471,-7.35E-22,0.010842896,0
0.114161045,-7.35E-22,0.010049438,0
0.354719654,-7.35E-22,0.009255981,0
0.084613897,0.09765625,0.009881592,0
0.307348686,-7.35E-22,0.010339355,0
-0.028265495,-7.35E-22,0.009713745,0
0.45649462,-7.35E-22,0.009317017,0
3.749790348,1.171875,0.010232544,0
0.640934712,28.90625,-13.52600708,0
3.442470803,29.3945313,-3.956488037,1
3.452398621,56.0546875,-13.13074341,1
3.196594484,62.7929688,-26.81531372,1
1.704326439,43.75,-6.01151123,1
1.237326439,53.6132813,-14.3099884,1
5.263202758,42.578125,0.010202026,1
0.709130576,32.2265625,-13.58,1
4.280666667,27.734375,-8.247625732,1
-0.61313747,6.1523438,0.008920288,1
1.639470803,-7.35E-22,0.008920288,0
0.392583353,0.1953125,0.009591675,0
0.25023979,-7.35E-22,0.009942627,0
0.465458391,-7.35E-22,0.009561157,0
-0.052871277,-7.35E-22,0.010705566,0
0.360857535,-7.35E-22,0.01116333,0
0.751296504,-7.35E-22,0.01,0
0.575456787,0.1953125,0.010217285,0
-0.024801144,3.8085938,0.01,0
0.70179896,11.71875,-11.48270264,1
4.199881401,9.8632813,-7.985617065,1
6.413366038,2.2460938,0.010095215,1
6.112930459,8.3007813,-6.010900879,1
5.91662372,11.9140625,-20.03798523,1
5.82197035,11.2304688,-3.752508545,1
5.59640593,11.71875,-7.888754272,1
6.32062372,11.71875,-2.76,1
4.43218814,16.6992188,-5.071844482,1
2.756059299,11.4257813,0.009347534,1
4.61718814,2.0507813,-6.047979736,1
0.340534771,2.2460938,0.010003662,1
7.454059299,-7.35E-22,0.008843994,0
1.462411121,-7.35E-22,0.01003418,0
1.449606192,-7.35E-22,0.011636353,0
0.054832774,-7.35E-22,0.010491943,0
0.241579747,-7.35E-22,0.010583496,0
-0.028125465,-7.35E-22,0.009957886,0
